item,Date,Machine,A,P,Q,OEE,Remark,color,Target,date2
233,2021-07-29,07W118,100,85.21,100,85.21,,#059918,85,2022-01-19
234,2021-07-29,08W015,100,94.63,100,94.63,,#059918,85,2022-01-20
235,2021-07-29,08W032,100,87.07,100,87.07,,#059918,85,2022-01-21
236,2021-07-29,45W021,100,89.87,100,89.87,,#059918,85,2022-01-22
237,2021-07-30,07W118,100,93.36,100,93.36,,#059918,85,2022-01-23
238,2021-07-30,08W015,100,94.63,100,94.63,,#059918,85,2022-01-24
239,2021-07-30,08W032,100,85.07,100,85.07,,#059918,85,2022-01-25
240,2021-07-30,45W021,100,91.63,100,91.63,,#059918,85,2022-01-26
241,2021-07-31,07W118,100,80.61,100,80.61,N/A,#ff0000,85,2022-01-27
242,2021-07-31,08W015,100,94.63,100,94.63,,#059918,85,2022-01-28
243,2021-07-31,08W032,100,89.29,100,89.29,,#059918,85,2022-01-29
244,2021-07-31,45W021,100,100,100,100,,#059918,85,2022-01-30
245,2021-08-01,07W118,100,94.84,100,94.84,,#059918,85,2022-01-31
246,2021-08-01,08W015,100,92.5,100,92.5,,#059918,85,2022-02-01
247,2021-08-01,08W032,100,88.27,100,88.27,,#059918,85,2022-02-02
248,2021-08-01,45W021,100,98.4,100,98.4,,#059918,85,2022-02-03
249,2021-08-02,07W118,100,92,100,92,,#059918,85,2022-02-04
250,2021-08-02,08W015,100,79.4,100,79.4,N/A,#059918,85,2022-02-05
251,2021-08-02,08W032,100,90.98,100,90.98,,#059918,85,2022-02-06
252,2021-08-02,45W021,100,97.83,100,97.83,,#059918,85,2022-02-07
253,2021-08-03,07W118,100,91.43,100,91.43,,#059918,85,2022-02-08
254,2021-08-03,08W015,100,89.81,100,89.81,,#059918,85,2022-02-09
255,2021-08-03,08W032,100,86.01,100,86.01,,#059918,85,2022-02-10
256,2021-08-03,45W021,100,92.1,100,92.1,,#059918,85,2022-02-11
257,2021-08-04,07W118,100,91.46,100,91.46,,#059918,85,2022-02-12
258,2021-08-04,08W015,100,90.87,100,90.87,,#059918,85,2022-02-13
259,2021-08-04,08W032,100,90.94,100,90.94,,#059918,85,2022-02-14
260,2021-08-04,45W021,100,92.65,100,92.65,,#059918,85,2022-02-15
261,2021-08-05,07W118,100,86.9,100,86.9,,#059918,85,2022-02-16
262,2021-08-05,08W015,100,86.42,100,86.42,,#059918,85,2022-02-17
263,2021-08-05,08W032,100,95.5,100,95.5,,#059918,85,2022-02-18
264,2021-08-05,45W021,100,93.62,100,93.62,,#059918,85,2022-02-19
265,2021-08-06,07W118,100,95,100,95,,#059918,85,2022-02-20
266,2021-08-06,08W015,100,96.16,100,96.16,,#059918,85,2022-02-21
267,2021-08-06,08W032,100,85.92,100,85.92,,#059918,85,2022-02-22
268,2021-08-06,45W021,0,0,0,0,รอโปรแกรม,#ff0000,85,2022-02-23
269,2021-08-07,07W118,100,88.71,100,88.71,,#059918,85,2022-02-24
270,2021-08-07,08W015,100,89.62,100,89.62,,#059918,85,2022-02-25
271,2021-08-07,08W032,100,87.84,100,87.84,,#059918,85,2022-02-26
272,2021-08-07,45W021,100,90.96,100,90.96,,#059918,85,2022-02-27
273,2021-08-08,07W118,100,96.06,100,96.06,,#059918,85,2022-02-28
274,2021-08-08,08W015,100,85.17,100,85.17,,#059918,85,2022-03-01
275,2021-08-08,08W032,100,86.03,100,86.03,,#059918,85,2022-03-02
276,2021-08-08,45W021,100,95.2,100,95.2,,#059918,85,2022-03-03
277,2021-08-09,07W118,100,85.41,100,85.41,,#059918,85,2022-03-04
278,2021-08-09,08W015,100,94.71,100,94.71,,#059918,85,2022-03-05
279,2021-08-09,08W032,100,87.66,100,87.66,,#059918,85,2022-03-06
280,2021-08-09,45W021,100,96.68,100,96.68,,#059918,85,2022-03-07
